diagnosis,count,percentage,global,irrelevant,local
lead(s) unsuitable for analysis: iii avl v2 v3 v4 v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii avr avf v1 v2 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: i ii iii avl avf v1 v4,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii iii avl avf v5 v6,1,0.0,0,1,0
atrial flutter with rapid ventricular response with frequent multifocal pvcs,1,0.0,1,0,1
sinus rhythm with aberrantly conducted supraventricular complexes with multifocal pvcs with borderline 1st degree a-v block,1,0.0,1,0,1
anterolateral t wave changes may be related to electronic pacemaker,1,0.0,0,0,1
complete a-v block,1,0.0,1,0,0
lead(s) unsuitable for analysis: ii iii avr avl avf v3 v4 v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: v1 v2 v3 v5 v6,1,0.0,0,1,0
septal and lateral st-t changes are consistent with myocardial ischemia,1,0.0,1,0,1
lead(s) unsuitable for analysis: i iii avl v1 v2 v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii iii avl avf v1 v2 v3 v4 v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: v1 v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: iii avl v3 v4 v5 v6,1,0.0,0,1,0
inferior+ant/septal st elevation consider recent infarction,1,0.0,1,0,1
septal infarction - possibly acute,1,0.0,1,0,0
non specific changes possibly secondary to the clinical finding of hypertension,1,0.0,1,0,0
inferior q + r decrease in ant/lateral leads,1,0.0,0,0,1
lead(s) unsuitable for analysis: v1 v2 v4,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii iii avl avf v2 v3 v4 v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: iii v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: avf v4,1,0.0,0,1,0
anteroseptal st changes are borderline abnormal for age/sex,1,0.0,1,0,1
sinus arrhythmia with multifocal interpolated pvcs with 1st degree a-v block.,1,0.0,1,0,1
atypical q in anterior leads,1,0.0,0,0,1
"artifact in lead(s) i,ii,iii,avr,avl,avf,v1,v2 and baseline wander in lead(s) v1,v2,v3",1,0.0,0,1,0
extensive infarction with acute changes in the inferior leads,1,0.0,1,0,1
inferior and septal st-t changes suggest myocardial infarct,1,0.0,1,0,1
probable recent inferior infarct,1,0.0,1,0,0
consistent with normal juvenile t waves,1,0.0,0,0,1
lead(s) unsuitable for analysis: i ii iii avl avf v1 v2 v3 v4 v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii avr avf v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: i iii avr avl avf v2,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii avf v1 v2,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii v1 v2 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: i iii avl avf v1 v2 v3 v6,1,0.0,0,1,0
sinus bradycardia with sinus arrhythmia with pvcs with borderline 1st degree a-v block.,1,0.0,1,0,1
lead(s) unsuitable for analysis: avf v2,1,0.0,0,1,0
lead(s) unsuitable for analysis: i ii avr avf v1 v3 v4 v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: iii avl v2 v3 v4 v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii avr avf v3 v4 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii avr avf v2 v4 v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: i iii avl v3 v4 v5,1,0.0,0,1,0
atrial fibrillation with uncontrolled ventricular response with frequent multifocal pvcs or aberrant ventricular conduction.,1,0.0,1,0,1
possible atrial flutter with slow ventricular response with interpolated pvcs,1,0.0,1,0,1
extensive t wave changes are consistent with digitalis effect,1,0.0,1,0,1
inferior/lateral st-t changes are possibly secondary to valvular heart disease,1,0.0,1,0,1
septal st-t changes are possibly secondary to congenital heart disease,1,0.0,1,0,1
lateral st-t changes secondary to congenital heart disease,1,0.0,1,0,1
anterolateral st-t changes secondary to congenital heart disease,1,0.0,1,0,1
extensive infarction with acute changes in the lateral leads,1,0.0,1,0,1
lead(s) unsuitable for analysis: iii avf v1 v2 v3,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii iii avl avf v1 v2 v3 v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: avr v1 v3,1,0.0,0,1,0
lateral st-t changes are possibly secondary to congenital heart disease,1,0.0,1,0,1
extensive infarction with acute changes in the anterolateral leads,1,0.0,1,0,1
inferior t wave changes consistent with myocardial ischemia,1,0.0,1,0,1
"lead(s) i,avr,avl were not used for morphology analysis",1,0.0,0,1,0
possible left ventricular hypertrophy with st-t changes likely to be due in part to myocardial ischemia,1,0.0,1,0,1
anterolateral t wave changes are possibly secondary to valvular heart disease,1,0.0,1,0,1
"missing lead(s): v3,v4,v5,v6",1,0.0,0,1,0
lead(s) v1 were not used for morphology analysis,1,0.0,0,1,0
lead(s) unsuitable for analysis: i avr v1,1,0.0,0,1,0
"missing lead(s): ii,avr,avl,avf,v4,v6 and partial missing lead(s): i,iii",1,0.0,0,1,0
lead(s) unsuitable for analysis: v2.,1,0.0,0,1,0
consider wpw pattern type b,1,0.0,1,0,1
lead(s) unsuitable for analysis: i ii iii avr avl avf v2 v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii v3 v4 v6,1,0.0,0,1,0
atrial flutter with rapid ventricular response with frequent pvcs,1,0.0,1,0,1
lead(s) unsuitable for analysis: ii avr avf v4 v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: avl v4,1,0.0,0,1,0
demand pacing with 1st degree a-v block.,1,0.0,1,0,1
lead(s) unsuitable for analysis: i ii iii avr avl avf v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii iii avr avf v1 v2 v3 v4 v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii iii avr avl avf v1 v4 v5 v6,1,0.0,0,1,0
possible atrial flutter with interpolated pvc(s).,1,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with pvcs with borderline 1st degree a-v block,1,0.0,1,0,1
possible ectopic atrial tachycardia with non-sustained ventricular tachycardia.,1,0.0,1,0,1
lead(s) unsuitable for analysis: i v3 v4 v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: i v2 v3 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: i v2 v4 v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: i v1 v4 v5,1,0.0,0,1,0
inferior and anterior st changes may be due to myocardial ischemia,1,0.0,1,0,1
lead(s) unsuitable for analysis: avl v1 v2 v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii iii avl v3 v4 v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: i iii avr avl v1 v2 v4 v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii iii avr avl avf v2,1,0.0,0,1,0
sinus arrhythmia with fusion complexes with 1st degree a-v block,1,0.0,1,0,1
possible ectopic atrial bradycardia with multifocal pvcs with pacs,1,0.0,1,0,1
possible ectopic atrial tachycardia with aberrantly conducted supraventricular complexes with pvc(s) with pac(s).,1,0.0,1,0,1
probable atrial fibrillation with uncontrolled ventricular response with frequent pvcs or aberrant ventricular conduction,1,0.0,1,0,1
possible ectopic atrial rhythm with aberrantly conducted supraventricular complexes with interpolated pvc(s),1,0.0,1,0,1
irregular ectopic atrial tachycardia with frequent pvcs,1,0.0,1,0,1
possible ectopic atrial rhythm with interpolated pvcs with pacs.,1,0.0,1,0,1
irregular ectopic atrial rhythm with pvc(s) or aberrant ventricular conduction,1,0.0,1,0,1
probable atrial tachycardia with pvc(s),1,0.0,1,0,1
lead(s) unsuitable for analysis: ii avf v3 v4,1,0.0,0,1,0
demand atrial pacing and ineffective stimuli,1,0.0,1,0,1
lead(s) unsuitable for analysis: avf v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii iii avf v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii avr v4 v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: i ii avr v1,1,0.0,0,1,0
probable supraventricular tachycardia with pvc(s),1,0.0,1,0,1
probable sinus tachycardia with non-sustained ventricular tachycardia,1,0.0,1,0,1
sinus bradycardia with paroxysmal idioventricular rhythm.,1,0.0,1,0,0
possible atrial flutter with interpolated pvcs or aberrant ventricular conduction,1,0.0,1,0,1
lead(s) unsuitable for analysis: avl v2 v3 v4 v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii avr avf v2 v3 v4 v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: iii avl avf v4,1,0.0,0,1,0
wide complex tachycardia - possible supraventricular tachycardia,1,0.0,1,0,1
irregular ectopic atrial tachycardia with 2nd degree (mobitz ii) sa block.,1,0.0,1,0,1
atrial flutter with uncontrolled ventricular response with frequent pvcs or aberrant ventricular conduction.,1,0.0,1,0,1
lead(s) unsuitable for analysis: ii avr avf v1 v2 v3 v4 v5,1,0.0,0,1,0
possible ectopic atrial tachycardia with frequent multifocal pvcs.,1,0.0,1,0,1
possible ectopic atrial tachycardia with frequent pacs.,1,0.0,1,0,1
possible ectopic atrial bradycardia with occasional pacs.,1,0.0,1,0,1
sinus tachycardia with fusion complexes with pac(s),1,0.0,1,0,1
sinus rhythm with fusion complexes with pacs,1,0.0,1,0,1
extensive t wave changes suggest possible myocardial ischemia/digitalis effect,1,0.0,1,0,1
lead(s) unsuitable for analysis: ii v2 v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: i iii avl v1 v4,1,0.0,0,1,0
"possible sequence error: v4,v5 omitted.",1,0.0,0,1,0
lead(s) unsuitable for analysis: i avr avf v1 v4 v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: i iii avr avl avf v1 v5 v6,1,0.0,0,1,0
possible ectopic atrial rhythm with frequent pvcs with pac(s).,1,0.0,1,0,1
"sinus tachycardia with sinus arrhythmia with 2nd degree a-v block, mobitz ii.",1,0.0,1,0,0
irregular ectopic atrial rhythm with multifocal pvcs or aberrant ventricular conduction.,1,0.0,1,0,1
possible atrial flutter with uncontrolled ventricular response with pvc(s) or aberrant ventricular conduction,1,0.0,1,0,1
irregular ectopic atrial rhythm with fusion complexes,1,0.0,1,0,1
sinus bradycardia with multifocal pvcs with pac(s) with 1st degree a-v block.,1,0.0,1,0,1
sinus bradycardia with pvcs with occasional pacs with 1st degree a-v block,1,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with pacs with borderline 1st degree a-v block.,1,0.0,1,0,1
sinus rhythm with aberrantly conducted supraventricular complexes with pacs with 1st degree a-v block.,1,0.0,1,0,1
atrial flutter with paroxysmal idioventricular rhythm or aberrant ventricular conduction,1,0.0,1,0,1
irregular ectopic atrial tachycardia with multifocal pvcs.,1,0.0,1,0,1
atrial flutter with slow ventricular response with bigeminal pvcs or aberrant ventricular conduction,1,0.0,1,0,1
extensive st-t changes are consistent with myocardial ischemia,1,0.0,1,0,1
lead(s) unsuitable for analysis: iii avl avf v1 v2 v3 v4 v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: i iii avr avl,1,0.0,0,1,0
lead(s) unsuitable for analysis: avl avf v3 v4 v6,1,0.0,0,1,0
probable atrial fibrillation with slow ventricular response with frequent pvcs.,1,0.0,1,0,1
sinus rhythm with aberrantly conducted supraventricular complexes with interpolated pvcs with 1st degree a-v block.,1,0.0,1,0,1
lead(s) unsuitable for analysis: i iii avr avl v6,1,0.0,0,1,0
demand pacing with 1st degree a-v block,1,0.0,1,0,1
lead(s) unsuitable for analysis: i iii avr avl v1 v2 v3 v6,1,0.0,0,1,0
septal t wave changes suggest myocardial ischemia,1,0.0,1,0,1
lead(s) unsuitable for analysis: ii iii avl avf v2 v3 v4 v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: avl v1 v2 v4 v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: avr v4,1,0.0,0,1,0
possible accelerated junctional rhythm with intermittent conduction defect,1,0.0,1,0,0
sinus bradycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with pvc(s),1,0.0,1,0,1
possible ectopic atrial rhythm with varying 2nd degree a-v block,1,0.0,1,0,0
lead(s) unsuitable for analysis: i ii iii avr avl avf v1 v3 v4 v5,1,0.0,0,1,0
unclassified aberrant complexes,1,0.0,1,0,1
lead(s) unsuitable for analysis: i iii avr avl v1 v3,1,0.0,0,1,0
lead(s) unsuitable for analysis: i ii avr avl avf v2 v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: i v2 v3 v4 v5 v6,1,0.0,0,1,0
inferior st changes are abnormal,1,0.0,1,0,1
sinus tachycardia with frequent multifocal pvcs with 1st degree a-v block,1,0.0,1,0,1
lead(s) unsuitable for analysis: i ii iii avf v1,1,0.0,0,1,0
lead(s) unsuitable for analysis: v1 v2 v6,1,0.0,0,1,0
septal st elevation may be a normal variant for age,1,0.0,0,0,1
lead(s) unsuitable for analysis: i ii iii avr avl avf v3,1,0.0,0,1,0
demand atrial pacing with borderline 1st degree a-v block,1,0.0,1,0,1
ant/septal+lateral st-t changes are borderline abnormal for age/sex,1,0.0,1,0,1
anteroseptal st-t changes suggest myocardial ischemia,1,0.0,1,0,1
lead(s) unsuitable for analysis: i ii iii avl v3 v4 v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii iii avr avl avf v5,1,0.0,0,1,0
inferior st changes are borderline abnormal,1,0.0,1,0,1
lead(s) unsuitable for analysis: i ii iii avl avf v6,1,0.0,0,1,0
"possible sequence error: v3,v4 omitted.",1,0.0,0,1,0
sinus rhythm with fusion complexes with borderline 1st degree a-v block,1,0.0,1,0,1
possible atrial flutter with intermittent conduction defect.,1,0.0,1,0,0
atrial flutter with rapid ventricular response with frequent multifocal pvcs.,1,0.0,1,0,1
possible ectopic atrial rhythm with frequent multifocal pvcs with pac(s).,1,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with borderline 1st degree a-v block,1,0.0,1,0,1
possible ectopic atrial rhythm with aberrantly conducted supraventricular complexes with frequent multifocal pvcs,1,0.0,1,0,1
sinus rhythm with undetermined irregularity.,1,0.0,1,0,0
sinus rhythm with frequent multifocal pvcs with pacs with borderline 1st degree a-v block.,1,0.0,1,0,1
- multifocal interpolated pvcs,1,0.0,1,0,1
irregular ectopic atrial rhythm with aberrantly conducted supraventricular complexes with multifocal pvcs.,1,0.0,1,0,1
multifocal interpolated premature ventricular contractions,1,0.0,1,0,1
sinus rhythm with pacs with pvcs with 1st degree a-v block.,1,0.0,1,0,1
sinus rhythm with non-sustained ventricular tachycardia with 1st degree a-v block.,1,0.0,1,0,1
possible ectopic atrial tachycardia with aberrantly conducted supraventricular complexes with pac(s).,1,0.0,1,0,1
anteroseptal t wave changes are borderline abnormal for age/sex,1,0.0,1,0,1
lead(s) unsuitable for analysis: i v1 v3,1,0.0,0,1,0
lead(s) unsuitable for analysis: i avr avl avf v1 v3 v4 v5 v6,1,0.0,0,1,0
tall inferior p waves - possible right atrial abnormality are borderline abnormal for age/sex,1,0.0,1,0,1
possible accelerated junctional rhythm with paroxysmal idioventricular rhythm,1,0.0,1,0,0
inferior and septal st-t changes are abnormal,1,0.0,0,0,1
lead(s) unsuitable for analysis: i avr v1 v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: i iii avl avf v1 v3 v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii v3 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: v2 v3 v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: iii avl avf v2 v4 v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: i avl avf v2,1,0.0,0,1,0
lead(s) unsuitable for analysis: avr v3 v4 v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: i iii avl avf v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: i iii avl avf v4 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: i avf v4 v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: iii avl avf v1 v2,1,0.0,0,1,0
lead(s) unsuitable for analysis: v2 v3 v4 v6,1,0.0,0,1,0
inferior and ant/septal t wave changes are borderline,1,0.0,1,0,1
lead(s) unsuitable for analysis: i iii avr avl v4 v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: i iii avr avl v4 v5 v6.,1,0.0,0,1,0
lead(s) unsuitable for analysis: i avl v2 v3 v4,1,0.0,0,1,0
demand ventricular pacing and ineffective stimuli,1,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with pvc(s) with borderline 1st degree a-v block,1,0.0,1,0,1
lead(s) unsuitable for analysis: i iii avl avf v4,1,0.0,0,1,0
lead(s) unsuitable for analysis: i iii avr avl avf v1 v3 v4 v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: i iii avl v5 v6.,1,0.0,0,1,0
lead(s) unsuitable for analysis: i ii iii avr avl avf v2,1,0.0,0,1,0
lead(s) unsuitable for analysis: i avr avl v1 v2 v3,1,0.0,0,1,0
lead(s) unsuitable for analysis: iii avl v4 v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: i avr avl v2,1,0.0,0,1,0
lead(s) unsuitable for analysis: i ii avr v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: i ii iii avr avl avf v1 v3 v4 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii avr v1 v2 v4 v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii avr v3 v4,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii iii avr avl avf v1 v2,1,0.0,0,1,0
lead(s) unsuitable for analysis: avf v2 v5 v6,1,0.0,0,1,0
sinus rhythm with pac(s) with pvc(s).,1,0.0,1,0,1
sinus tachycardia with frequent multifocal pvcs with pacs with borderline 1st degree a-v block.,1,0.0,1,0,1
atrial fibrillation with interpolated pvc(s).,1,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with 1st degree a-v block.,1,0.0,1,0,1
sinus rhythm with interpolated pvcs with pacs with borderline 1st degree a-v block,1,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with multifocal interpolated pvcs with 1st degree a-v block,1,0.0,1,0,1
sinus rhythm with non-sustained ventricular tachycardia with borderline 1st degree a-v block.,1,0.0,1,0,1
sinus rhythm with interpolated pvcs with borderline 1st degree a-v block.,1,0.0,1,0,1
- demand a-v sequential and ventricular pacing and ineffective stimuli,1,0.0,1,0,1
possible wolff-parkinson-white pattern type b,1,0.0,1,0,0
lead(s) unsuitable for analysis: iii v2,1,0.0,0,1,0
lead(s) unsuitable for analysis: i avr avf v1 v2,1,0.0,0,1,0
possible ectopic atrial rhythm with aberrantly conducted supraventricular complexes with pacs,1,0.0,1,0,1
atrial flutter with slow ventricular response with multifocal pvcs or aberrant ventricular conduction,1,0.0,1,0,1
sinus rhythm with frequent pvcs with pacs with 1st degree a-v block,1,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with interpolated pvcs with 1st degree a-v block.,1,0.0,1,0,1
lead(s) unsuitable for analysis: i ii iii avr avl v2 v3 v4,1,0.0,0,1,0
sinus bradycardia with aberrantly conducted supraventricular complexes with multifocal interpolated pvcs.,1,0.0,1,0,1
lead(s) unsuitable for analysis: i ii avr avl avf v1 v2 v3 v4 v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: i ii avr v2 v3 v4 v5,1,0.0,0,1,0
lateral t wave changes are possibly secondary to congenital heart disease,1,0.0,1,0,1
lead(s) unsuitable for analysis: i avr avl v2 v3 v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: iii avf v3 v4 v5,1,0.0,0,1,0
anterior st-t changes are borderline abnormal for age/sex,1,0.0,1,0,1
lead(s) unsuitable for analysis: v1 v3 v4 v5 v6,1,0.0,0,1,0
inferior+ant/septal t wave change,1,0.0,0,0,1
lead(s) unsuitable for analysis: ii iii avr avf v2,1,0.0,0,1,0
anterolateral st-t changes are consistent with myocardial ischemia,1,0.0,1,0,1
inferior/lateral st changes are borderline abnormal,1,0.0,1,0,1
irregular ectopic atrial bradycardia with interpolated pvc(s).,1,0.0,1,0,1
lead(s) unsuitable for analysis: i iii avr avl avf v1 v2 v3 v4 v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: i ii avr v3,1,0.0,0,1,0
lead(s) unsuitable for analysis: i ii iii avl avf v2 v5 v6,1,0.0,0,1,0
irregular ectopic atrial bradycardia with interpolated pvcs.,1,0.0,1,0,1
possible ectopic atrial rhythm with pac(s) with pvc(s).,1,0.0,1,0,1
lead(s) unsuitable for analysis: i iii avr avl avf v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: i iii avr avl avf v1 v2 v3 v6,1,0.0,0,1,0
"baseline wander in lead(s) ii,avr,avf,v1,v2,v4,v6",1,0.0,0,1,0
lead(s) unsuitable for analysis: i iii avl v1 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: i iii avl v2 v4,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii avr v1 v2 v4 v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: i iii avr avl avf v1 v2 v4,1,0.0,0,1,0
anterior st changes are borderline abnormal,1,0.0,1,0,1
lead(s) unsuitable for analysis: i iii avr avl v1 v2,1,0.0,0,1,0
lead(s) unsuitable for analysis: i v1 v4,1,0.0,0,1,0
sinus rhythm with intermittent conduction defect with borderline 1st degree a-v block.,1,0.0,1,0,0
sinus bradycardia with non-sustained ventricular tachycardia,1,0.0,1,0,1
possible atrial flutter with paroxysmal idioventricular rhythm or aberrant ventricular conduction,1,0.0,1,0,0
undetermined rhythm with fusion complexes with occasional pacs,1,0.0,1,0,1
possible ectopic atrial rhythm with frequent pvcs with pac(s),1,0.0,1,0,1
possible ectopic atrial rhythm with aberrantly conducted supraventricular complexes with interpolated pvcs,1,0.0,1,0,1
possible ectopic atrial bradycardia with fusion complexes,1,0.0,1,0,1
possible wolff-parkinson-white pattern type a,1,0.0,1,0,1
possible ectopic atrial rhythm with multifocal interpolated pvcs.,1,0.0,1,0,1
sinus rhythm with multifocal pvcs with pac(s) with 1st degree a-v block.,1,0.0,1,0,1
irregular ectopic atrial bradycardia with frequent multifocal pvcs,1,0.0,1,0,1
irregular ectopic atrial rhythm with interpolated pvc(s),1,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with occasional pacs with 1st degree a-v block.,1,0.0,1,0,1
sinus rhythm with aberrantly conducted supraventricular complexes with interpolated pvcs with pacs.,1,0.0,1,0,1
atrial flutter with rapid ventricular response with intermittent conduction defect.,1,0.0,1,0,0
possible atrial flutter with interpolated pvc(s) or aberrant ventricular conduction.,1,0.0,1,0,1
sinus tachycardia with interpolated pvc(s) with pac(s).,1,0.0,1,0,1
lead(s) unsuitable for analysis: i ii iii avr avf v2 v3 v4 v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii avf v1 v3 v4 v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: iii avl avf v2 v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: iii avl v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: avl v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii avf v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii v2 v3,1,0.0,0,1,0
lead(s) unsuitable for analysis: i iii avl v1 v4 v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: iii avl v2 v3 v4,1,0.0,0,1,0
lead(s) unsuitable for analysis: iii v2 v3 v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: i ii avr avf v2 v3 v4 v5 v6,1,0.0,0,1,0
lead(s) unsuitable for analysis: ii v4 v5,1,0.0,0,1,0
similar qrs in precordial leads: possible simulated ecg. no further analysis.,1,0.0,0,1,0
lead(s) unsuitable for analysis: i ii iii avr avl avf v4 v5,1,0.0,0,1,0
lead(s) unsuitable for analysis: avr v2 v3 v4,1,0.0,0,1,0
lead(s) unsuitable for analysis: avr v2 v3,1,0.0,0,1,0
lead(s) unsuitable for analysis: i v3 v5,1,0.0,0,1,0
sinus bradycardia with aberrantly conducted supraventricular complexes with pac(s) with 1st degree a-v block,1,0.0,1,0,1
irregular ectopic atrial rhythm with varying 2nd degree a-v block.,1,0.0,1,0,0
lead(s) unsuitable for analysis: i avr avl v1 v2 v3 v4 v5 v6,1,0.0,0,1,0
septal st elevation - possible early repolarization,1,0.0,1,0,1
lead(s) unsuitable for analysis: avl v3 v4,1,0.0,0,1,0
atrial fibrillation with uncontrolled ventricular response with frequent pvcs or aberrant ventricular conduction.,1,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with paroxysmal idioventricular rhythm or aberrant ventricular conduction,1,0.0,1,0,1
probable atrial fibrillation with rapid ventricular response with paroxysmal idioventricular rhythm.,1,0.0,1,0,0
possible ectopic atrial rhythm with pvcs with occasional pacs.,1,0.0,1,0,1
possible ectopic atrial tachycardia with aberrantly conducted supraventricular complexes with pvcs.,1,0.0,1,0,1
possible accelerated junctional rhythm with multifocal pvcs,1,0.0,1,0,1
sinus tachycardia with aberrantly conducted supraventricular complexes with borderline 1st degree a-v block.,1,0.0,1,0,1
possible atrial flutter with uncontrolled ventricular response with multifocal pvcs.,1,0.0,1,0,1
sinus rhythm with non-sustained ventricular tachycardia with 1st degree a-v block,1,0.0,1,0,1
possible ectopic atrial rhythm with interpolated pvc(s) with pac(s),1,0.0,1,0,1
possible ectopic atrial tachycardia with frequent multifocal pvcs with pacs.,1,0.0,1,0,1
sinus rhythm with undetermined irregularity with 1st degree a-v block.,1,0.0,1,0,0
sinus rhythm with frequent multifocal pvcs with pacs with 1st degree a-v block.,1,0.0,1,0,1
possible atrial flutter with slow ventricular response with multifocal pvcs,1,0.0,1,0,1
sinus bradycardia with occasional pacs with 1st degree a-v block,1,0.0,1,0,1
sinus bradycardia with aberrantly conducted supraventricular complexes with pacs.,1,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with frequent pvcs with 1st degree a-v block.,1,0.0,1,0,1
lead(s) unsuitable for analysis: avf v2 v3,1,0.0,0,1,0
sinus rhythm with pvcs with occasional pacs with 1st degree a-v block.,1,0.0,1,0,1
sinus rhythm with occasional pacs with pvcs with 1st degree a-v block,1,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with undetermined irregularity with borderline 1st degree a-v block,1,0.0,1,0,0
irregular ectopic atrial rhythm with paroxysmal idioventricular rhythm,1,0.0,1,0,0
possible atrial flutter with multifocal pvcs,1,0.0,1,0,1
sinus tachycardia with multifocal pvcs with 1st degree a-v block,1,0.0,1,0,1
possible atrial flutter with rapid ventricular response with intermittent conduction defect.,1,0.0,1,0,0
sinus bradycardia with interpolated pvcs with pacs with 1st degree a-v block.,1,0.0,1,0,1
sinus rhythm with varying 2nd degree a-v block,1,0.0,1,0,0
sinus rhythm with multifocal pvcs with pacs with borderline 1st degree a-v block,1,0.0,1,0,1
atrial flutter with slow ventricular response with pvcs or aberrant ventricular conduction,1,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with non-sustained ventricular tachycardia,1,0.0,1,0,1
possible ectopic atrial rhythm with multifocal pvcs with pacs,1,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with interpolated pvc(s) or aberrant ventricular conduction.,1,0.0,1,0,1
sinus tachycardia with aberrantly conducted supraventricular complexes with non-sustained ventricular tachycardia with pacs.,1,0.0,1,0,1
sinus tachycardia with aberrantly conducted supraventricular complexes with multifocal pvcs.,1,0.0,1,0,1
possible atrial flutter with slow ventricular response with pvcs,1,0.0,1,0,1
atrial fibrillation with uncontrolled ventricular response with multifocal pvcs or aberrant ventricular conduction,1,0.0,1,0,1
lead(s) unsuitable for analysis: ii avr v1 v3 v4 v5,1,0.0,0,1,0
